quantite;beer;prix/Litre;prix
['12x25cl'];1664 Bière blonde - Bouteille - Alc. 5,5% vol.;[' 2,77€/L'];['8,30']
['6x25cl'];HOEGAARDEN Radler - Lemon & lime - Bière au citron - Alc. 2% vol.;[' 3,73€/L'];['5,59']
['6x25cl'];HOEGAARDEN Bière blanche - Bouteille - Alc. 4,9% vol.;[' 2,80€/L'];['4,20']
['75cl'];LA GOUDALE Bière de garde blonde - Bouteille - Alc. 7,2% vol.;[' 3,75€/L'];['2,81']
['4x25cl'];MORT SUBITE Kriek lambic - Bière belge à la cerise - Alcool 4 % vol.;[' 4,96€/L'];['4,96']
['50cl'];PELFORTH Bière brune - Canette - Alcool 6% vol.;[' 3,52€/L'];['1,76']
['6x25cl'];PELFORTH Brune - Bière brune - Bouteille - Alc. 6,5% vol.;[' 3,04€/L'];['4,56']
['33cl'];CHIMAY Bière chimay bleu br. 9d 33cl;[' 5,09€/L'];['1,68']
['6x25cl'];KRIEK La bécasse - Bière blonde - Bouteille - Aromatisée à la cerise - Alc. 5,1% vol.;[' 3,47€/L'];['5,21']
['65cl'];FISCHER Bière ambrée - Alc. 6,30% vol;[' 4,25€/L'];['2,76']
['50cl'];AMSTERDAM Navigator - Bière blonde - Canette - Alc. 8,4% vol.;[' 2,70€/L'];['1,35']
['50cl'];AMSTERDAM Maximator - Bière blonde - Canette - Alc. 11,6% vol.;[' 3,54€/L'];['1,77']
['50cl'];BAVARIA 8.6 - Original - Bière blonde - Canette - Alc. 8,6% vol.;[' 2,74€/L'];['1,37']
['4x50cl'];BAVARIA 8.6 original - Bière - alc 8,6% vol - bouteille;[' 2,74€/L'];['5,48']
['50 cl'];BRASSEURS DE GAYANT Bière la Goulade - Alc. 7,2% vol;[' 3,56€/L'];['1,78']
['50cl'];KELLEGEN Bière blonde - Canette - Alc. 8% vol.;[' 2,20€/L'];['1,10']
['50cl'];KRONENBOURG 7.2 - Bière blonde - Canette - Alc. 7,2% vol.;[' 2,44€/L'];['1,22']
['50cl'];1664 Bière blonde - Canette - Alc. 5,5% vol.;[' 2,28€/L'];['1,14']
['50cl'];HEINEKEN Bière blonde - Canette - Alc. 5% vol.;[' 2,28€/L'];['1,14']
['50cl'];KELLEGEN Biere blonde - Canette - Alc. 5% vol.;[' 1,98€/L'];['0,99']
['50cl'];DESPERADOS Bière blonde - A la téquila - Canette - Alc. 5,9% vol.;[' 3,98€/L'];['1,99']
['50cl'];DESPERADOS Red - Bière blonde - A la téquila - Canette - Arômatisée guarana - Alc. 5,9% vol.;[' 4,18€/L'];['2,09']
['5l'];AFFLIGEM Bière blonde - Fût - Alc. 6,7% vol.;[' 4,39€/L'];['21,95']
['5l'];HEINEKEN Fût de bière;[' 3,83€/L'];['19,14']
['8 5l'];PELFORTH Bière blonde - alc 5,8%vol  - fut;[' 3,46€/L'];['17,28']
['6x33cl'];KRONENBOURG Bière blonde - Alc. 4,2% vol.;[' 1,91€/L'];['3,78']
['10x25cl'];KRONENBOURG Original - Bière blonde - Bouteille - Alc. 4,2% vol.;[' 2,04€/L'];['5,09']
['12x33cl'];KRONENBOURG Bière blonde - Alcool 4,2% vol.;[' 1,91€/L'];['7,57']
['20x25cl'];KRONENBOURG Bière blonde - Alc. 4,2% vol.;[' 2,05€/L'];['10,24']
['26x25cl'];KRONENBOURG Original - Bière blonde - Bouteille - Alc. 4,2% vol.;[' 1,89€/L'];['12,27']
['10x25cl']; Biere blonde - Alcool 4,2% vol;[' 1,42€/L'];['3,55']
['65cl'];FISCHER Tradition - Bière blonde - Bouteille - Alc. 6% vol.;[' 2,94€/L'];['1,91']
